id,Sexe,Nom,Prenom,Etiquette,Elu1988,Elu1993,Elu1997,Elu2002,Elu2007,Elu2012,Elu2017,Nombre_presentation_1988,Nombre_presentation_1993,Nombre_presentation_1997,Nombre_presentation_2002,Nombre_presentation_2007,Nombre_presentation_2012,Nombre_presentation_2017,Nombre_Elu_1988,Nombre_Elu_1993,Nombre_Elu_1997,Nombre_Elu_2002,Nombre_Elu_2007,Nombre_Elu_2012,Nombre_Elu_2017,1988,1988_RES,1993,1993_RES,1997,1997_RES,2002,2002_RES,2007,2007_RES,2012,2012_RES,2017,2017_RES,Phrase_pres_cand,Phrase_pres_parti,Age,Site_perso,Twitter,Facebook,Img_cand,PodCast
66,F,BAUDRY HASPOT,GENEVIEVE,UNION DEMOCRATIQUE BRETONNE,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,C7_44,1.25,C7_44,1.04,,,,,,,,,,,,,,,,
67,M,BAUJON,MICHEL,PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,,,C7_49,4.02,C7_49,5.34,C7_49,1.87,,,,,,,,,,,,,,
68,M,BAZILLE,NICOLAS,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C1_44,0.35,,,,,,,,,,
69,F,BEAULIEU,CATHERINE,MOUVEMENT POUR LA FRANCE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C9_44,2.35,C4_44,3.05,,,,,,,,,,,,
70,M,BEAULIEU,HERVE,MOUVEMENT POUR LA FRANCE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C4_44,3.64,C9_44,2.1,,,,,,,,,,,,
71,M,BEAUMERT,FRANCOIS,LES VERTS,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C7_49,4.8,,,,,,,,,,,,
72,M,BEGAULT,JEAN,UNION DU RASSEMBLEMENT ET DU CENTRE,C4,C4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,C4_49,63.15,C4_49,39.47,,,,,,,,,,,,,,,,,,
73,F,BELIN,MARIE-FRANCE,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,,,C8_44,2.33,C8_44,4.25,C7_44,1.06,C7_44,0.83,C7_44,0.43,,,,,,,,,,
74,F,BELIN,YVETTE,MOUVEMENT NATIONAL REPUBLICAIN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C6_49,0.74,,,,,,,,,,,,,,
75,F,BELLANGER,BRIGITTE,LUTTE OUVRIERE,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,C3_49,2.08,C3_49,1.54,C3_49,0.65,,,,,,,,,,
76,M,BELLOIS,CHRISTIAN,LIGUE COMMUNISTE REVOLUTIONNAIRE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C7_49,1.43,,,,,,,,,,,,,,
77,M,BELOT,LUC,PARTI SOCIALISTE,0,0,0,0,0,C1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,,,,,,,,C1_49,25.54,C1_49,39.83,,,,,,,,,,
78,F,BELUGOU,DOMINIQUE,NOUVEAU PARTI ANTICAPITALISTE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C3_85,0.39,,,,,,,,,,
79,F,BENARD,NATHALIE,EUROPE-ECOLOGIE-LES VERTS,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C3_49,1.11,,,,,,,,,,
80,F,BENATRE,MARIE-ANNICK,PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,,,C2_44,1.34,C3_44,4.83,,,,,,,,,,
81,M,BENDAHAN,MICHEL,DIVERS DROITE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C5_49,1.71,,,,,,,,,,,,
82,M,BERLAND,JEAN LOUIS,PARTI SOCIALISTE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C2_85,16.37,,,,,,,,,,,,,,,,,,
83,M,BERNARD,CLAUDE,LE CENTRE POUR LA FRANCE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C3_49,2.49,,,,,,,,,,
84,M,BERNARD,MICHEL,COMMUNISTES,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C8_44,0.77,,,,,,,,,,,,
85,M,BERNIE,JEAN LOUIS,CHASSE PECHE NATURE ET TRADITIONS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C9_44,6.44,,,,,,,,,,,,,,
86,M,BERNIER,MARC,UNION POUR UN MOUVEMENT POPULAIRE,0,0,0,C2,C2,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,,,,,,,C2_53,27.9,C2_53,42.02,,,,,,,,,,,,
87,F,BERNIER DUPREELLE,CHRISTINE,MOUVEMENT POUR LA FRANCE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,C7_49,4.33,C1_49,3.15,,,,,,,,,,,,,,
88,F,BERTET,BERNADETTE,VEC,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C4_44,9.91,,,,,,,,,,,,,,,,,,
89,F,BERTHAUD,GAELE,LIGUE COMMUNISTE REVOLUTIONNAIRE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C7_44,2.37,,,,,,,,,,,,
90,M,BERTHELEMIE,RAYMOND,PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C4_49,2.82,C4_49,2.6,,,,,,,,,,,,,,,,,,
91,M,BERTHELOT,GILLES,MAJORITE PRESIDENTIELLE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C9_44,0.96,,,,,,,,,,,,,,,,,,
92,M,BERTHOLET,JEAN,PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,C2_49,9.55,C2_49,6.81,,,,,,,,,,,,,,,,,,
93,M,BERTIN,MICHEL,SOLIDARITE ECOLOGIE GAUCHE ALTERNATIVE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C4_72,3.68,,,,,,,,,,,,,,,,,,
94,F,BESNEHARD,MARIE-FLORE,LES NOUVEAUX ECOLOGISTES DU RASSEMBLEMENT NATURE ET ANIMAUX,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C2_85,3.69,,,,,,,,,,,,,,,,,,
95,F,BESSE,VERONIQUE,MOUVEMENT POUR LA FRANCE (SOUTIEN UMP),0,0,0,0,C4,C4,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,,,,,,,,,C4_85,59.16,C4_85,55.94,,,,,,,,,,
96,M,BIDAULT,ROLAND,MOUVEMENT NATIONAL REPUBLICAIN,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C7_49,0.88,C7_49,0.55,,,,,,,,,,,,
97,M,BIGEARD,HUBERT,FRONT NATIONAL,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,C4_72,5.98,C4_72,8.09,,,,,,,,,,,,,,,,
98,F,BILLEAU,MARIE-MADELEINE,"MNR - CONTRE L'IMMIGRATION-ISLAMISATION, L'INSECURITE",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C3_53,0.39,,,,,,,,,,,,
99,M,BIORET,PASCAL,PARTI SOCIALISTE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,C6_44,29.17,,,,,,,,,,,,
100,F,BLAIE,LUCIE,FRONT NATIONAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C1_44,5.37,,,,,,,,,,,,,,
101,M,BLAIS,YVES,PARTI COMMUNISTE FRANCAIS,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,C6_44,5.75,,,,,,,,,,,,,,,,
102,M,BLANC,GILBERT,"FRONT NATIONAL, LES FRANCAIS D'ABORD",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,C3_53,7.71,C3_53,7.1,,,,,,,,,,,,,,,,
103,M,BLANCHARD,JEAN CLAUDE,RASSEMBLEMENT BLEU MARINE,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,C8_44,9.99,,,,,,,,,,
104,M,BLINEAU,PAUL,EXTREME GAUCHE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C3_44,2.03,,,,,,,,,,,,,,,,,,
105,M,BOCHER,JEAN YVES,UDF - MOUVEMENT DEMOCRATE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,C2_44,6.65,C2_44,8.48,,,,,,,,,,,,
106,M,BODARD,PHILIPPE,GENERATION ECOLOGIE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,C2_49,8.89,,,,,,,,,,,,,,,,,,
107,F,BODIER,NATHALIE,GENERATION ECOLOGIE,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,,C5_49,1.59,,,,,,,,,,,,,,,,
108,M,BODIGER,P.JEAN,FRONT NATIONAL,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,C2_72,7.45,,,,,,,,,,,,,,
