DATE,GEONAME,SCORE
2017-02-17,Aquitaine,75
2017-02-17,Auvergne,65
2017-02-17,Brittany,100
2017-02-17,Burgundy,48
2017-02-17,Centre-Val de Loire,64
2017-02-17,Champagne-Ardenne,71
2017-02-17,Corsica,35
2017-02-17,Franche-Comté,67
2017-02-17,Languedoc-Roussillon,64
2017-02-17,Limousin,78
2017-02-17,Lorraine,50
2017-02-17,Lower Normandy,71
2017-02-17,Midi-Pyrénées,83
2017-02-17,Nord-Pas-de-Calais,44
2017-02-17,Pays de la Loire,88
2017-02-17,Picardy,56
2017-02-17,Poitou-Charentes,61
2017-02-17,Provence-Alpes-Côte d'Azur,71
2017-02-17,Rhone-Alpes,63
2017-02-17,Upper Normandy,57
2017-02-17,Île-de-France,65
2017-02-18,Alsace,69
2017-02-18,Aquitaine,79
2017-02-18,Auvergne,60
2017-02-18,Brittany,93
2017-02-18,Burgundy,68
2017-02-18,Centre-Val de Loire,77
2017-02-18,Champagne-Ardenne,52
2017-02-18,Corsica,58
2017-02-18,Franche-Comté,66
2017-02-18,Languedoc-Roussillon,84
2017-02-18,Limousin,100
2017-02-18,Lorraine,64
2017-02-18,Lower Normandy,78
2017-02-18,Midi-Pyrénées,80
2017-02-18,Nord-Pas-de-Calais,48
2017-02-18,Pays de la Loire,83
2017-02-18,Picardy,59
2017-02-18,Poitou-Charentes,74
2017-02-18,Provence-Alpes-Côte d'Azur,64
2017-02-18,Rhone-Alpes,77
2017-02-18,Upper Normandy,82
2017-02-18,Île-de-France,77
2017-02-19,Alsace,70
2017-02-19,Aquitaine,75
2017-02-19,Auvergne,62
2017-02-19,Brittany,100
2017-02-19,Burgundy,85
2017-02-19,Centre-Val de Loire,67
2017-02-19,Champagne-Ardenne,59
2017-02-19,Corsica,57
2017-02-19,Franche-Comté,50
2017-02-19,Languedoc-Roussillon,80
2017-02-19,Limousin,34
2017-02-19,Lorraine,70
2017-02-19,Lower Normandy,85
2017-02-19,Midi-Pyrénées,75
2017-02-19,Nord-Pas-de-Calais,44
2017-02-19,Pays de la Loire,82
2017-02-19,Picardy,58
2017-02-19,Poitou-Charentes,62
2017-02-19,Provence-Alpes-Côte d'Azur,58
2017-02-19,Rhone-Alpes,77
2017-02-19,Upper Normandy,64
2017-02-19,Île-de-France,70
2017-02-20,Alsace,79
2017-02-20,Aquitaine,82
2017-02-20,Auvergne,97
2017-02-20,Brittany,96
2017-02-20,Burgundy,70
2017-02-20,Centre-Val de Loire,65
2017-02-20,Champagne-Ardenne,65
2017-02-20,Corsica,100
2017-02-20,Franche-Comté,44
2017-02-20,Languedoc-Roussillon,75
2017-02-20,Limousin,64
2017-02-20,Lorraine,59
2017-02-20,Lower Normandy,69
2017-02-20,Midi-Pyrénées,75
2017-02-20,Nord-Pas-de-Calais,54
2017-02-20,Pays de la Loire,78
2017-02-20,Picardy,60
2017-02-20,Poitou-Charentes,63
2017-02-20,Provence-Alpes-Côte d'Azur,58
2017-02-20,Rhone-Alpes,74
2017-02-20,Upper Normandy,59
2017-02-20,Île-de-France,77
2017-02-21,Alsace,66
2017-02-21,Aquitaine,62
2017-02-21,Auvergne,72
2017-02-21,Brittany,59
2017-02-21,Burgundy,37
2017-02-21,Centre-Val de Loire,60
2017-02-21,Champagne-Ardenne,51
2017-02-21,Corsica,100
2017-02-21,Franche-Comté,70
2017-02-21,Languedoc-Roussillon,63
2017-02-21,Limousin,75
2017-02-21,Lorraine,48
2017-02-21,Lower Normandy,89
2017-02-21,Midi-Pyrénées,79
2017-02-21,Nord-Pas-de-Calais,48
2017-02-21,Pays de la Loire,68
2017-02-21,Picardy,47
2017-02-21,Poitou-Charentes,68
2017-02-21,Provence-Alpes-Côte d'Azur,62
2017-02-21,Rhone-Alpes,59
2017-02-21,Upper Normandy,51
2017-02-21,Île-de-France,63
2017-02-22,Alsace,47
2017-02-22,Aquitaine,46
2017-02-22,Auvergne,59
2017-02-22,Brittany,64
2017-02-22,Burgundy,56
2017-02-22,Centre-Val de Loire,48
2017-02-22,Champagne-Ardenne,47
2017-02-22,Corsica,100
2017-02-22,Franche-Comté,41
2017-02-22,Languedoc-Roussillon,49
2017-02-22,Limousin,56
2017-02-22,Lorraine,44
