DATE,GEONAME,SCORE
2017-02-26,Lower Normandy,53
2017-02-26,Midi-Pyrénées,39
2017-02-26,Nord-Pas-de-Calais,38
2017-02-26,Pays de la Loire,100
2017-02-26,Picardy,54
2017-02-26,Poitou-Charentes,54
2017-02-26,Provence-Alpes-Côte d'Azur,55
2017-02-26,Rhone-Alpes,39
2017-02-26,Upper Normandy,47
2017-02-26,Île-de-France,46
2017-02-27,Alsace,63
2017-02-27,Aquitaine,61
2017-02-27,Auvergne,82
2017-02-27,Brittany,76
2017-02-27,Burgundy,73
2017-02-27,Centre-Val de Loire,68
2017-02-27,Champagne-Ardenne,75
2017-02-27,Corsica,100
2017-02-27,Franche-Comté,42
2017-02-27,Languedoc-Roussillon,78
2017-02-27,Limousin,60
2017-02-27,Lorraine,60
2017-02-27,Lower Normandy,79
2017-02-27,Midi-Pyrénées,70
2017-02-27,Nord-Pas-de-Calais,66
2017-02-27,Pays de la Loire,83
2017-02-27,Picardy,67
2017-02-27,Poitou-Charentes,83
2017-02-27,Provence-Alpes-Côte d'Azur,78
2017-02-27,Rhone-Alpes,64
2017-02-27,Upper Normandy,60
2017-02-27,Île-de-France,66
2017-02-28,Alsace,72
2017-02-28,Aquitaine,72
2017-02-28,Auvergne,95
2017-02-28,Brittany,81
2017-02-28,Burgundy,79
2017-02-28,Centre-Val de Loire,77
2017-02-28,Champagne-Ardenne,51
2017-02-28,Corsica,100
2017-02-28,Franche-Comté,78
2017-02-28,Languedoc-Roussillon,74
2017-02-28,Limousin,87
2017-02-28,Lorraine,90
2017-02-28,Lower Normandy,62
2017-02-28,Midi-Pyrénées,93
2017-02-28,Nord-Pas-de-Calais,71
2017-02-28,Pays de la Loire,93
2017-02-28,Picardy,69
2017-02-28,Poitou-Charentes,81
2017-02-28,Provence-Alpes-Côte d'Azur,81
2017-02-28,Rhone-Alpes,78
2017-02-28,Upper Normandy,76
