DATE,GEONAME,SCORE
2017-02-22,Brittany,90
2017-02-22,Burgundy,63
2017-02-22,Centre-Val de Loire,44
2017-02-22,Champagne-Ardenne,78
2017-02-22,Corsica,89
2017-02-22,Franche-Comté,99
2017-02-22,Languedoc-Roussillon,81
2017-02-22,Limousin,100
2017-02-22,Lorraine,57
2017-02-22,Lower Normandy,48
2017-02-22,Midi-Pyrénées,61
2017-02-22,Nord-Pas-de-Calais,42
2017-02-22,Pays de la Loire,43
2017-02-22,Picardy,50
2017-02-22,Poitou-Charentes,55
2017-02-22,Provence-Alpes-Côte d'Azur,75
2017-02-22,Rhone-Alpes,68
2017-02-22,Upper Normandy,46
2017-02-22,Île-de-France,62
2017-02-23,Alsace,51
2017-02-23,Aquitaine,100
2017-02-23,Auvergne,100
2017-02-23,Brittany,98
2017-02-23,Burgundy,80
2017-02-23,Centre-Val de Loire,57
2017-02-23,Champagne-Ardenne,74
2017-02-23,Corsica,66
2017-02-23,Franche-Comté,95
2017-02-23,Languedoc-Roussillon,72
2017-02-23,Limousin,70
2017-02-23,Lorraine,81
2017-02-23,Lower Normandy,68
2017-02-23,Midi-Pyrénées,82
2017-02-23,Nord-Pas-de-Calais,58
2017-02-23,Pays de la Loire,56
2017-02-23,Picardy,62
2017-02-23,Poitou-Charentes,63
2017-02-23,Provence-Alpes-Côte d'Azur,91
2017-02-23,Rhone-Alpes,71
2017-02-23,Upper Normandy,52
2017-02-23,Île-de-France,63
2017-02-24,Alsace,60
2017-02-24,Aquitaine,41
2017-02-24,Auvergne,99
2017-02-24,Brittany,100
2017-02-24,Burgundy,69
2017-02-24,Centre-Val de Loire,82
2017-02-24,Champagne-Ardenne,47
2017-02-24,Franche-Comté,64
2017-02-24,Languedoc-Roussillon,56
2017-02-24,Limousin,93
2017-02-24,Lorraine,57
2017-02-24,Lower Normandy,72
2017-02-24,Midi-Pyrénées,86
2017-02-24,Nord-Pas-de-Calais,47
2017-02-24,Pays de la Loire,51
2017-02-24,Picardy,91
2017-02-24,Poitou-Charentes,55
2017-02-24,Provence-Alpes-Côte d'Azur,78
2017-02-24,Rhone-Alpes,55
2017-02-24,Upper Normandy,46
2017-02-24,Île-de-France,63
2017-02-25,Alsace,56
2017-02-25,Aquitaine,57
2017-02-25,Auvergne,76
2017-02-25,Brittany,86
2017-02-25,Burgundy,80
2017-02-25,Centre-Val de Loire,71
2017-02-25,Champagne-Ardenne,32
2017-02-25,Corsica,69
2017-02-25,Franche-Comté,45
2017-02-25,Languedoc-Roussillon,67
2017-02-25,Limousin,76
2017-02-25,Lorraine,51
2017-02-25,Lower Normandy,100
2017-02-25,Midi-Pyrénées,92
2017-02-25,Nord-Pas-de-Calais,36
2017-02-25,Pays de la Loire,64
