DATE,GEONAME,SCORE
2017-02-21,Aquitaine,52
2017-02-21,Auvergne,56
2017-02-21,Brittany,100
2017-02-21,Burgundy,59
2017-02-21,Centre-Val de Loire,59
2017-02-21,Champagne-Ardenne,45
2017-02-21,Corsica,56
2017-02-21,Franche-Comté,61
2017-02-21,Languedoc-Roussillon,74
2017-02-21,Limousin,42
2017-02-21,Lorraine,66
2017-02-21,Lower Normandy,70
2017-02-21,Midi-Pyrénées,64
2017-02-21,Nord-Pas-de-Calais,57
2017-02-21,Pays de la Loire,71
2017-02-21,Picardy,44
2017-02-21,Poitou-Charentes,41
2017-02-21,Provence-Alpes-Côte d'Azur,60
2017-02-21,Rhone-Alpes,64
2017-02-21,Upper Normandy,36
2017-02-21,Île-de-France,53
2017-02-22,Alsace,51
2017-02-22,Aquitaine,66
2017-02-22,Auvergne,48
2017-02-22,Brittany,87
2017-02-22,Burgundy,63
2017-02-22,Centre-Val de Loire,100
2017-02-22,Champagne-Ardenne,21
2017-02-22,Corsica,48
2017-02-22,Franche-Comté,45
2017-02-22,Languedoc-Roussillon,70
2017-02-22,Limousin,80
2017-02-22,Lorraine,29
2017-02-22,Lower Normandy,38
2017-02-22,Midi-Pyrénées,55
2017-02-22,Nord-Pas-de-Calais,50
2017-02-22,Pays de la Loire,50
2017-02-22,Picardy,44
2017-02-22,Poitou-Charentes,64
2017-02-22,Provence-Alpes-Côte d'Azur,42
2017-02-22,Rhone-Alpes,58
2017-02-22,Upper Normandy,41
2017-02-22,Île-de-France,56
2017-02-23,Alsace,51
2017-02-23,Aquitaine,86
2017-02-23,Auvergne,66
2017-02-23,Brittany,80
2017-02-23,Burgundy,43
2017-02-23,Centre-Val de Loire,64
2017-02-23,Champagne-Ardenne,54
2017-02-23,Franche-Comté,89
2017-02-23,Languedoc-Roussillon,61
2017-02-23,Limousin,52
2017-02-23,Lorraine,73
2017-02-23,Lower Normandy,55
2017-02-23,Midi-Pyrénées,100
2017-02-23,Nord-Pas-de-Calais,72
2017-02-23,Pays de la Loire,77
2017-02-23,Picardy,46
2017-02-23,Poitou-Charentes,86
